tweet_id,mentioned_candidate_AI,associated_word_AI,tone_AI,perceived_judgement_AI,polarity_AI,is_spam
tweet_id:1919334684942639363,Kiko Pangilinan,WIN,Enjoyment,InFavor,0.8,False
tweet_id:1839193747877478699,P3PWD,Senator,Neutral,InFavor,0.5,False
tweet_id:1919957910093762935,Kiko Pangilinan,ipanalo,Enjoyment,InFavor,0.8,False
tweet_id:1919957910093762935,Bam Aquino,ipanalo,Enjoyment,InFavor,0.8,False
tweet_id:1840608670842794190,,clean,Neutral,InFavor,0.5,False
tweet_id:1910566015370748369,,midterm,Neutral,Unsure,0.0,False
tweet_id:1894001833158545408,Akbayan,Youth,Neutral,InFavor,0.5,False
tweet_id:1909886904868418044,Kiko Pangilinan,SENADOR,Neutral,InFavor,0.8,False
tweet_id:1909886904868418044,Bam Aquino,SENADOR,Neutral,InFavor,0.8,False
tweet_id:1909886904868418044,Heidi Mendoza,SENADOR,Neutral,InFavor,0.8,False
tweet_id:1919290261735145899,,elections,Neutral,Unsure,0.0,False
tweet_id:1910503942758511101,,media,Neutral,Unsure,0.0,False
tweet_id:1919334041696034907,Bam Aquino,WIN,Enjoyment,InFavor,0.8,False
tweet_id:1919335872706834845,Heidi Mendoza,WIN,Enjoyment,InFavor,0.9,False
tweet_id:1916820865934598241,,,Neutral,Unsure,0.0,True
tweet_id:1910504237974642971,,media,Neutral,Unsure,0.0,True
tweet_id:1915283709697368292,Jimmy Bondoc,Duterte,Neutral,InFavor,0.8,False
tweet_id:1915283709697368292,Bong Go,Duterte,Neutral,InFavor,0.8,False
tweet_id:1915283709697368292,Ronald dela Rosa,Duterte,Neutral,InFavor,0.8,False
tweet_id:1906248143953645676,,elections,Neutral,Unsure,0.0,False
tweet_id:1899725104390484382,,priority,Neutral,Unsure,0.0,False
tweet_id:1920373371155501274,,Halalan2025,Neutral,Unsure,0.0,False
tweet_id:1891432583692484973,jimmy bondoc,straight,Anger,InFavor,0.8,False
tweet_id:1891432583692484973,ronald dela rosa,straight,Anger,InFavor,0.8,False
tweet_id:1891432583692484973,bong go,straight,Anger,InFavor,0.8,False
tweet_id:1891432583692484973,jesus hinlo jr.,straight,Anger,InFavor,0.8,False
tweet_id:1891432583692484973,raul lambino,straight,Anger,InFavor,0.8,False
tweet_id:1891432583692484973,rodante marcoleta,straight,Anger,InFavor,0.8,False
tweet_id:1891432583692484973,apollo quiboloy,straight,Anger,InFavor,0.8,False
tweet_id:1891432583692484973,vic rodriguez,straight,Anger,InFavor,0.8,False
tweet_id:1891432583692484973,phillip salvador,straight,Anger,InFavor,0.8,False
tweet_id:1919750994822627823,,,Neutral,Unsure,0.0,True
tweet_id:1878109617051328530,,,Neutral,Unsure,0.0,True
tweet_id:1896125886279352404,imee marcos,budol,Anger,Opposedto,-0.9,False
tweet_id:1896125886279352404,duterte youth,DutertePaRin,Neutral,InFavor,0.8,False
tweet_id:1827935745828647177,makabayan,senatorial,Neutral,InFavor,0.5,False
tweet_id:1827935745828647177,mody floranda,senatorial,Neutral,InFavor,0.5,False
tweet_id:1827935745828647177,jocelyn andamo,senatorial,Neutral,InFavor,0.5,False
tweet_id:1827935745828647177,teodoro casiño,senatorial,Neutral,InFavor,0.5,False
tweet_id:1827935745828647177,arlene brosas,senatorial,Neutral,InFavor,0.5,False
tweet_id:1827935745828647177,ronnel arambulo,senatorial,Neutral,InFavor,0.5,False
tweet_id:1914847943204733278,,,Neutral,Unsure,0.0,True
tweet_id:1842437059383832828,kabataan,filed,Neutral,InFavor,0.5,False
tweet_id:1919605438393319553,,,Neutral,Unsure,0.0,True
tweet_id:1919600702646898919,,,Neutral,Unsure,0.0,True
tweet_id:1919617181438136802,,,Neutral,Unsure,0.0,True
tweet_id:1874969150260760665,,,Neutral,Unsure,0.0,True
tweet_id:1882802765803761817,,,Neutral,Unsure,0.0,True
tweet_id:1879802461743095882,,,Neutral,Unsure,0.0,True
tweet_id:1888987035924578686,makabayan,subok,Enjoyment,InFavor,0.8,False
tweet_id:1789616040252711007,,,Neutral,Unsure,0.5,True
tweet_id:1920977083360313611,,,Neutral,Unsure,0.0,True
tweet_id:1920901384729178216,,,Anger,Unsure,-0.5,True
tweet_id:1920871766827626632,camille villar,power,Neutral,Unsure,0.0,False
tweet_id:1920864431736562148,makabayan,love,Enjoyment,InFavor,0.8,False
tweet_id:1920864431736562148,gabriela,love,Enjoyment,InFavor,0.8,False
tweet_id:1920854508533334479,bam aquino,iconsider,Enjoyment,InFavor,0.8,False
tweet_id:1920854508533334479,kiko pangilinan,iconsider,Enjoyment,InFavor,0.8,False
tweet_id:1920854508533334479,luke espiritu,iconsider,Enjoyment,InFavor,0.8,False
tweet_id:1920854508533334479,heidi mendoza,iconsider,Enjoyment,InFavor,0.8,False
tweet_id:1920854508533334479,akbayan,suporta,Neutral,InFavor,0.5,False
tweet_id:1920854508533334479,ml,suporta,Neutral,InFavor,0.5,False
tweet_id:1920838922159956041,kiko pangilinan,Vote,Enjoyment,InFavor,0.8,False
tweet_id:1920838922159956041,bam aquino,Vote,Enjoyment,InFavor,0.8,False
tweet_id:1920837089299489014,bong go,defending,Neutral,InFavor,0.5,False
tweet_id:1920833333375693268,bbm,President,Neutral,InFavor,0.5,False
tweet_id:1920830577810210939,,,Neutral,Unsure,0.0,True
tweet_id:1920827942692618370,,Halalan2025,Neutral,Unsure,0.0,True
tweet_id:1920807042446487865,,,Neutral,Unsure,0.0,True
tweet_id:1920805907891380274,,,Neutral,Unsure,0.5,True
tweet_id:1920805108616503630,bam aquino,Kakampinks,Enjoyment,InFavor,0.8,False
tweet_id:1920805108616503630,kiko pangilinan,Kakampinks,Enjoyment,InFavor,0.8,False
tweet_id:1920801471655772332,,pagbabago,Enjoyment,InFavor,0.8,False
tweet_id:1920781433989145050,heidi mendoza,,Neutral,Unsure,0.0,False
tweet_id:1920781433989145050,bam aquino,,Neutral,Unsure,0.0,False
tweet_id:1920781433989145050,kiko pangilinan,,Neutral,Unsure,0.0,False
tweet_id:1920781433989145050,luke espiritu,,Neutral,Unsure,0.0,False
tweet_id:1920779922773086279,bayan muna,endorso,Enjoyment,InFavor,0.8,False
tweet_id:1920779922773086279,makabayan,endorso,Enjoyment,InFavor,0.8,False
tweet_id:1920777127533695463,luke espiritu,senatorial,Neutral,InFavor,0.5,False
tweet_id:1920777127533695463,leody de guzman,senatorial,Neutral,InFavor,0.5,False
tweet_id:1920777040413741306,,,Neutral,Unsure,0.0,False
tweet_id:1920773693581509031,,,Neutral,Unsure,0.5,True
tweet_id:1920729879240171780,,,Sadness,Unsure,0.2,False
tweet_id:1920720226498249021,camille villar,candidate,Neutral,Unsure,0.0,True
tweet_id:1920720226498249021,abigail binay,senator,Neutral,Unsure,0.0,False
tweet_id:1920720226498249021,francis tolentino,politician,Neutral,Unsure,0.0,False
tweet_id:1920720226498249021,ronald dela rosa,senator,Neutral,Unsure,0.0,False
tweet_id:1920720226498249021,benhur abalos,politician,Neutral,Unsure,0.0,False
tweet_id:1920720226498249021,bong revilla,senator,Neutral,Unsure,0.0,False
tweet_id:1920720226498249021,bong go,senator,Neutral,Unsure,0.0,False
tweet_id:1920720226498249021,imee marcos,senator,Neutral,Unsure,0.0,False
tweet_id:1920716711478641126,bam aquino,for,Enjoyment,InFavor,0.8,False
tweet_id:1920716711478641126,kiko pangilinan,for,Enjoyment,InFavor,0.8,False
tweet_id:1920675663301779810,,,Neutral,Unsure,0.0,True
tweet_id:1920670224874934426,,,Neutral,Unsure,0.5,False
tweet_id:1920668362859749835,,Kandidatong,Anger,Opposedto,-0.8,False
tweet_id:1920576280593944839,,Boplaks,Contempt,Opposedto,-0.5,False
tweet_id:1920509390848729523,,,Neutral,Unsure,0.0,True
tweet_id:1920509002896847294,,,Neutral,Unsure,0.0,True
tweet_id:1920503320470565198,bam aquino,manalo,Enjoyment,InFavor,0.8,False
tweet_id:1920503320470565198,kiko pangilinan,manalo,Enjoyment,InFavor,0.8,False
tweet_id:1920481410865115158,bam aquino,sama-sama,Enjoyment,InFavor,0.8,False
tweet_id:1920481410865115158,kiko pangilinan,sama-sama,Enjoyment,InFavor,0.8,False
tweet_id:1920452416433959006,duterte youth,red-tagging,Contempt,Opposedto,-0.8,False
tweet_id:1920451415119372799,kiko pangilinan,top,Enjoyment,InFavor,0.8,False
tweet_id:1920451415119372799,bam aquino,top,Enjoyment,InFavor,0.8,False
tweet_id:1920451415119372799,heidi mendoza,top,Enjoyment,InFavor,0.8,False
tweet_id:1920451415119372799,luke espiritu,top,Enjoyment,InFavor,0.8,False
tweet_id:1920429998160093378,bam aquino,Top,Enjoyment,InFavor,0.8,False
tweet_id:1920429998160093378,kiko pangilinan,Top,Enjoyment,InFavor,0.8,False
tweet_id:1920419231407222821,,,Contempt,Unsure,-0.5,False
tweet_id:1920360147353817109,bam aquino,DAPAT,Enjoyment,InFavor,0.8,False
tweet_id:1920360147353817109,kiko pangilinan,DAPAT,Enjoyment,InFavor,0.8,False
tweet_id:1920353534777708683,bam aquino,Boto,Neutral,InFavor,0.5,False
tweet_id:1920353534777708683,kiko pangilinan,Boto,Neutral,InFavor,0.5,False
tweet_id:1920353534777708683,ml,Partylist,Neutral,InFavor,0.5,False
tweet_id:1920348187304271880,,,Sadness,Unsure,-0.5,True
tweet_id:1920298070157230484,,,Disgust,Opposedto,-0.8,False
tweet_id:1920298070157230484,,Disqualified,Disgust,Opposedto,-0.9,False
tweet_id:1920291816794214721,pbbm,kinansela,Contempt,Opposedto,-0.8,False
tweet_id:1920278722332041593,kiko pangilinan,proud,Enjoyment,InFavor,0.8,False
tweet_id:1920223866019840061,,nagpahirap,Anger,Opposedto,-1.0,False
tweet_id:1920214754003726405,bam aquino,,Neutral,Unsure,0.0,False
tweet_id:1920214754003726405,ronnel arambulo,,Neutral,Unsure,0.0,False
tweet_id:1920214754003726405,roberto ballon,,Neutral,Unsure,0.0,False
tweet_id:1920214754003726405,arlene brosas,,Neutral,Unsure,0.0,False
tweet_id:1920214754003726405,france castro,,Neutral,Unsure,0.0,False
tweet_id:1920214754003726405,david d'angelo,,Neutral,Unsure,0.0,False
tweet_id:1920214754003726405,luke espiritu,,Neutral,Unsure,0.0,False
tweet_id:1920214754003726405,sonny matula,,Neutral,Unsure,0.0,False
tweet_id:1920214754003726405,heidi mendoza,,Neutral,Unsure,0.0,False
tweet_id:1920214754003726405,kiko pangilinan,,Neutral,Unsure,0.0,False
tweet_id:1920214754003726405,danilo ramos,,Neutral,Unsure,0.0,False
tweet_id:1920162670789210282,akbayan,batas,Enjoyment,InFavor,0.8,False
tweet_id:1920145913563255243,bam aquino,Senador,Neutral,InFavor,0.5,False
tweet_id:1920145913563255243,kiko pangilinan,Senador,Neutral,InFavor,0.5,False
tweet_id:1920145913563255243,makabayan,,Neutral,InFavor,0.5,False
tweet_id:1920142546627621345,kiko pangilinan,tama,Enjoyment,InFavor,0.8,False
tweet_id:1920139921261817902,kiko pangilinan,successful,Enjoyment,InFavor,0.8,False
tweet_id:1920135027607716234,,,Neutral,Unsure,0.5,False
tweet_id:1920122618268795374,kiko pangilinan,Pogi,Enjoyment,InFavor,0.8,False
tweet_id:1920105271659299256,,,Enjoyment,InFavor,0.8,False
tweet_id:1920101317311168724,,,Contempt,Unsure,0.2,True
tweet_id:1920097911251378221,,,Neutral,InFavor,0.5,False
tweet_id:1920090131035537545,kiko pangilinan,Miting,Enjoyment,InFavor,0.8,False
tweet_id:1920086229216841823,imee marcos,hypocrisy,Anger,Opposedto,-0.8,False
tweet_id:1920084233663492408,kiko pangilinan,courts,Neutral,InFavor,0.5,False
tweet_id:1920061261984764220,bayan muna,Day,Neutral,InFavor,0.5,False
tweet_id:1920061261984764220,makabayan,Coalition,Neutral,InFavor,0.5,False
tweet_id:1920030438841843958,,,Contempt,Opposedto,-0.8,False
tweet_id:1920030438841843958,,losing,Disgust,Opposedto,-0.7,False
tweet_id:1920030438841843958,,,Neutral,Unsure,0.0,True
tweet_id:1920020012149919776,bam aquino,,Neutral,InFavor,0.5,False
tweet_id:1920020012149919776,kiko pangilinan,,Neutral,InFavor,0.5,False
tweet_id:1920020012149919776,heidi mendoza,,Neutral,InFavor,0.5,False
tweet_id:1920020012149919776,luke espiritu,,Neutral,InFavor,0.5,False
tweet_id:1920009276585619760,bam aquino,SOLID,Enjoyment,InFavor,0.8,False
tweet_id:1920009276585619760,kiko pangilinan,SOLID,Enjoyment,InFavor,0.8,False
tweet_id:1919994453218976220,bam aquino,,Neutral,InFavor,0.8,False
tweet_id:1919994453218976220,kiko pangilinan,,Neutral,InFavor,0.8,False
tweet_id:1919993103483580753,bam aquino,POWER,Enjoyment,InFavor,0.8,False
tweet_id:1919993103483580753,kiko pangilinan,POWER,Enjoyment,InFavor,0.8,False
tweet_id:1919993103483580753,ml,,Neutral,InFavor,0.5,False
tweet_id:1919966812655255689,,,Neutral,Unsure,0.0,True
tweet_id:1919964766908416480,heidi mendoza,Bobo,Contempt,Opposedto,-0.8,False
tweet_id:1919964766908416480,bbm,,Neutral,InFavor,0.5,False
tweet_id:1919964766908416480,duterte youth,Bobo,Contempt,Opposedto,-0.8,False
tweet_id:1919954501689344273,bam aquino,,Enjoyment,InFavor,0.8,False
tweet_id:1919954501689344273,kiko pangilinan,,Enjoyment,InFavor,0.8,False
tweet_id:1919954501689344273,ml,,Neutral,InFavor,0.5,False
tweet_id:1919953086984159497,erwin tulfo,likely,Neutral,InFavor,0.5,False
tweet_id:1919953086984159497,kiko pangilinan,likely,Neutral,InFavor,0.5,False
tweet_id:1919952390930710672,kiko pangilinan,prinsipyo,Enjoyment,InFavor,0.8,False
tweet_id:1919951116152013255,kiko pangilinan,chance,Neutral,Unsure,0.0,False
tweet_id:1919951116152013255,tito sotto,term,Enjoyment,InFavor,0.8,False
tweet_id:1919922180692824242,,,Anger,Opposedto,-0.8,False
tweet_id:1919754845764132997,bam aquino,Kakampinks,Enjoyment,InFavor,0.8,False
tweet_id:1919754845764132997,kiko pangilinan,Kakampinks,Enjoyment,InFavor,0.8,False
tweet_id:1919749632562802800,bam aquino,,Neutral,InFavor,0.5,False
tweet_id:1919743694380388735,bam aquino,Karapat,Enjoyment,InFavor,0.8,False
tweet_id:1919739378198315193,,,Neutral,Unsure,0.0,True
tweet_id:1919708727352930531,,,Neutral,Unsure,0.5,False
tweet_id:1919694144764829935,,,Neutral,Unsure,0.0,True
tweet_id:1919692836632723679,,politiko,Anger,Opposedto,-0.8,False
tweet_id:1919692836632723679,,tapat,Neutral,InFavor,0.5,False
tweet_id:1919687036853735797,duterte youth,Kulto,Contempt,Opposedto,-0.8,False
tweet_id:1919680987639722173,bam aquino,Kakampink,Enjoyment,InFavor,0.8,False
tweet_id:1919680987639722173,kiko pangilinan,Kakampink,Enjoyment,InFavor,0.8,False
tweet_id:1919674748256321705,kiko pangilinan,iboto,Neutral,InFavor,0.5,False
tweet_id:1919638365240230028,makabayan,progresibong,Anger,InFavor,0.5,False
tweet_id:1919633773848899988,phillip salvador,presidency,Contempt,Opposedto,-0.8,True
tweet_id:1919631813481529658,,,Neutral,Unsure,0.0,True
tweet_id:1919619767595569288,bam aquino,,Neutral,InFavor,0.5,False
tweet_id:1919619767595569288,kiko pangilinan,,Neutral,InFavor,0.5,False
tweet_id:1919619767289434416,,,Neutral,Unsure,0.0,True
tweet_id:1919594990612971998,,,Neutral,Unsure,0.0,False
tweet_id:1919594099486949491,kiko pangilinan,Kailangan,Neutral,InFavor,0.8,False
tweet_id:1919594099486949491,bam aquino,Kailangan,Neutral,InFavor,0.8,False
tweet_id:1919591279844815122,kiko pangilinan,black,Contempt,Opposedto,-0.8,False
tweet_id:1919591279844815122,duterte youth,trolls,Anger,Opposedto,-0.9,False
tweet_id:1919591279844815122,,,Neutral,Unsure,0.0,False
tweet_id:1919583153959928218,erwin tulfo,top,Neutral,InFavor,0.5,False
tweet_id:1919583153959928218,bong go,top,Neutral,InFavor,0.5,False
tweet_id:1919583153959928218,act-cis,top,Neutral,InFavor,0.5,False
tweet_id:1919572788576452852,,,Neutral,Unsure,0.0,True
tweet_id:1919426033889263849,duterte youth,Legacy,Contempt,Opposedto,-0.8,False
tweet_id:1919365072142401927,makabayan,demokrasya,Neutral,InFavor,0.5,False
tweet_id:1919317204723708203,,,Neutral,Unsure,0.0,True
tweet_id:1919305368875782468,bam aquino,favorite,Enjoyment,InFavor,0.8,False
tweet_id:1919293369248887200,phillip salvador,guaranteed,Contempt,InFavor,-0.5,False
tweet_id:1919281621754085780,,,Contempt,Opposedto,-0.8,True
tweet_id:1919278385693372486,bong go,frontrunner,Neutral,InFavor,0.5,False
tweet_id:1919278206491955356,,,Anger,Unsure,-0.5,False
tweet_id:1919277791671099586,,,Neutral,Unsure,0.0,True
tweet_id:1919269547326022059,,,Contempt,Unsure,-0.5,True
tweet_id:1919266913685025079,,,Neutral,Unsure,0.0,False
tweet_id:1919265019818062278,duterte youth,Legacy,Contempt,Opposedto,-0.8,False
tweet_id:1919236776180261059,kiko pangilinan,manalo,Neutral,InFavor,0.5,False
tweet_id:1919234881172676766,duterte youth,,Neutral,Unsure,0.0,False
tweet_id:1919234881172676766,,former,Neutral,Unsure,0.0,False
tweet_id:1919233860262342898,bam aquino,,Neutral,InFavor,0.5,False
tweet_id:1919233860262342898,kiko pangilinan,,Neutral,InFavor,0.5,False
tweet_id:1919207047213498834,bong revilla,corrupt,Disgust,Opposedto,-0.8,False
tweet_id:1919207047213498834,manny pacquiao,absentee,Contempt,Opposedto,-0.7,False
tweet_id:1919018366745919849,bam aquino,alam,Neutral,InFavor,0.5,False
tweet_id:1919018366745919849,kiko pangilinan,alam,Neutral,InFavor,0.5,False
tweet_id:1918986113189867828,kiko pangilinan,Tapat,Enjoyment,InFavor,0.8,False
tweet_id:1918983777495183707,bam aquino,iboto,Enjoyment,InFavor,0.8,False
tweet_id:1918983777495183707,kiko pangilinan,iboto,Enjoyment,InFavor,0.8,False
tweet_id:1918978599207788703,bam aquino,suporta,Enjoyment,InFavor,0.8,False
tweet_id:1918978599207788703,kiko pangilinan,suporta,Enjoyment,InFavor,0.8,False
tweet_id:1918978599207788703,ml,,Neutral,InFavor,0.5,False
tweet_id:1918973696514928680,bam aquino,magagawa,Enjoyment,InFavor,0.8,False
tweet_id:1918973696514928680,kiko pangilinan,magagawa,Enjoyment,InFavor,0.8,False
tweet_id:1918931665981669587,bam aquino,Ipanalo,Enjoyment,InFavor,0.8,False
tweet_id:1918931665981669587,kiko pangilinan,Ipanalo,Enjoyment,InFavor,0.8,False
tweet_id:1918930387260092637,kiko pangilinan,kakampi,Enjoyment,InFavor,0.8,False
tweet_id:1918930387260092637,bam aquino,kakampi,Enjoyment,InFavor,0.8,False
tweet_id:1918922593958055984,ml,Partylist,Enjoyment,InFavor,0.8,False
tweet_id:1918922593958055984,,Gobyerno,Enjoyment,InFavor,0.8,False
tweet_id:1918902275625660847,bam aquino,sila,Neutral,InFavor,0.5,False
tweet_id:1918902275625660847,kiko pangilinan,sila,Neutral,InFavor,0.5,False
tweet_id:1918902098718007783,bam aquino,,Neutral,InFavor,0.8,False
tweet_id:1918902098718007783,kiko pangilinan,,Neutral,InFavor,0.8,False
tweet_id:1918832141657600371,kiko pangilinan,Panalo,Enjoyment,InFavor,0.8,False
tweet_id:1918832141657600371,bam aquino,Panalo,Enjoyment,InFavor,0.8,False
tweet_id:1918802757521457404,,,Neutral,Unsure,0.0,True
tweet_id:1918661144517963873,,,Neutral,Unsure,0.0,True
tweet_id:1918624480391512229,kiko pangilinan,IPAPANALO,Enjoyment,InFavor,0.8,False
tweet_id:1918624480391512229,bam aquino,IPAPANALO,Enjoyment,InFavor,0.8,False
tweet_id:1918624480391512229,ml,IPAPANALO,Enjoyment,InFavor,0.8,False
tweet_id:1918622873104867509,bam aquino,Power,Enjoyment,InFavor,0.8,False
tweet_id:1918622873104867509,kiko pangilinan,Power,Enjoyment,InFavor,0.8,False
tweet_id:1918622873104867509,ml,Power,Enjoyment,InFavor,0.8,False
tweet_id:1918583809366474939,imee marcos,Senador,Anger,InFavor,0.5,False
tweet_id:1918349075927154782,,,Neutral,Unsure,0.5,True
tweet_id:1918209834345980402,,abusado,Anger,Opposedto,-0.8,False
tweet_id:1918170403039834171,health workers,partylist,Enjoyment,InFavor,0.8,False
tweet_id:1918170403039834171,jocelyn andamo,senado,Enjoyment,InFavor,0.8,False
tweet_id:1918109977434091829,,,Contempt,Opposedto,-0.5,False
tweet_id:1917791087273390471,,,Neutral,Unsure,0.0,True
tweet_id:1917481610913657324,,,Neutral,Unsure,0.0,True
tweet_id:1917468850670690377,,tapat,Enjoyment,InFavor,0.8,False
tweet_id:1917467636235132951,,,Neutral,Unsure,0.0,True
tweet_id:1917434317015506978,,,Anger,Opposedto,-0.5,True
tweet_id:1917434317015506978,,disqualification,Anger,InFavor,0.3,False
tweet_id:1917434317015506978,,textblast,Contempt,Opposedto,-0.7,False
tweet_id:1917423640729248106,roberto ballon,Musketeer,Enjoyment,InFavor,0.8,False
tweet_id:1917423640729248106,david d'angelo,Musketeer,Enjoyment,InFavor,0.8,False
tweet_id:1917423640729248106,sonny matula,Musketeer,Enjoyment,InFavor,0.8,False
tweet_id:1917418691995787662,francis tolentino,believes,Contempt,InFavor,0.2,False
tweet_id:1917375939144515918,,,Neutral,Unsure,0.0,False
tweet_id:1917353203630305776,,,Neutral,Unsure,0.0,True
tweet_id:1917347653853274160,,,Neutral,Unsure,0.0,True
tweet_id:1917252768563400816,,,Neutral,InFavor,0.5,False
tweet_id:1917130391011659880,4ps,PULPOLITIKO,Contempt,Opposedto,-0.8,False
tweet_id:1917130391011659880,tupad,PULPOLITIKO,Contempt,Opposedto,-0.8,False
tweet_id:1916986840244183448,heidi mendoza,CORRUPTION,Enjoyment,InFavor,0.8,False
tweet_id:1916831415880261771,,,Neutral,Unsure,0.0,True
tweet_id:1916810877677736311,,,Neutral,Unsure,0.0,True
tweet_id:1916788988515631438,4ps,top,Neutral,InFavor,0.5,False
tweet_id:1916788988515631438,malasakit@bayanihan,leads,Neutral,InFavor,0.5,False
tweet_id:1916788988515631438,duterte youth,tops,Neutral,InFavor,0.5,False
tweet_id:1916747684633067933,,,Neutral,Unsure,0.5,False
tweet_id:1916671368491307140,duterte youth,Traydor,Anger,Opposedto,-0.8,False
tweet_id:1916669410598650205,kiko pangilinan,representasyon,Enjoyment,InFavor,0.8,False
tweet_id:1916448107895918680,,,Neutral,Unsure,0.2,False
tweet_id:1916385270892540137,rodante marcoleta,,Contempt,Unsure,-0.5,False
tweet_id:1916385270892540137,manny pacquiao,,Contempt,Unsure,-0.5,False
tweet_id:1916385270892540137,benhur abalos,,Contempt,Unsure,-0.5,False
tweet_id:1916385270892540137,kiko pangilinan,,Contempt,Unsure,-0.5,False
tweet_id:1916385270892540137,bam aquino,,Contempt,Unsure,-0.5,False
tweet_id:1916346491888926987,,,Neutral,Unsure,0.0,False
tweet_id:1916313348502675465,,,Neutral,Unsure,0.0,True
tweet_id:1916281224173171087,camille villar,,Neutral,Unsure,0.0,False
tweet_id:1915911628064960595,,opposition,Neutral,Opposedto,-0.5,False
tweet_id:1915911628064960595,,leader,Neutral,InFavor,0.5,False
tweet_id:1915911628064960595,,endorsements,Neutral,Unsure,0.0,False
tweet_id:1915888664225128721,,,Contempt,Opposedto,-0.5,False
tweet_id:1915888664225128721,lito lapid,dynasty,Contempt,Opposedto,-0.8,False
tweet_id:1915767771633222039,,maka-China,Contempt,Opposedto,-0.5,False
tweet_id:1915767771633222039,,pambato,Neutral,InFavor,0.5,False
tweet_id:1915717098560487670,erwin tulfo,top,Neutral,InFavor,0.5,False
tweet_id:1915717098560487670,bong go,led,Neutral,InFavor,0.5,False
tweet_id:1915717098560487670,act-cis,,Neutral,Unsure,0.0,False
tweet_id:1915709761766756353,,,Neutral,Unsure,0.0,False
tweet_id:1915647327089660319,bam aquino,Ipanalo,Enjoyment,InFavor,0.8,False
tweet_id:1915647327089660319,kiko pangilinan,Ipanalo,Enjoyment,InFavor,0.8,False
tweet_id:1915633116598710477,,,Anger,Unsure,-0.5,True
tweet_id:1915584821352333740,bam aquino,,Neutral,InFavor,0.5,False
tweet_id:1915584821352333740,kiko pangilinan,,Neutral,InFavor,0.5,False
